Id,AccountId,Name,ContactId,Extended_Warranty_Expiration__c,Unique_Serial_Number__c,SerialNumber,Warranty_Expiration_Date__c,Account.Name,Account.Partner_Owner__c
02i1U000000OEbrQAG,0011U000007zcnLQAQ,MPA 0086,,,2 2.1 0086,2 2.1 0086,6/14/2021,Johnan Corp,
02i1U000003mD1kQAE,0011U00000pT9FAQA0,MPA 0225,,,RTR-MPA-0003-2038-0225,RTR-MPA-0003-2038-0225,,Next.Robotics,
02i1U000003mD1lQAE,0011U00000pT9FAQA0,MPA 0232,,,RTR-MPA-0003-2038-0232,RTR-MPA-0003-2038-0232,,Next.Robotics,
02i1U000003mDAcQAM,0011U00000pT9FAQA0,CTR 0065,,,RTR-MPA-0003-2038-0229,RTR-CTR-0001-2043-0065,,Next.Robotics,
02i1U000003mD2gQAE,0011U000007zcnLQAQ,MPA 0254,,,RTR-MPA-0003-2038-0254,RTR-MPA-0003-2038-0254,,Johnan Corp,
02i1U000000OEgyQAG,0011U00000pT9FAQA0,MPA 0067,,,2 2.1 0067,2 2.1 0067,3/22/2021,Next.Robotics,
02i1U000000OEgxQAG,0011U00000pT9FAQA0,MPA 0066,,,2 2.1 0066,2 2.1 0066,3/22/2021,Next.Robotics,
02i1U000000OFDfQAO,0011U000008Dh2dQAC,CTR 0029,,,RTR-MPA-0002-2002-0062,RTR-CTR-0001-2024-0029,9/3/2021,Nexty,
02i1U000000OFDgQAO,0011U000008Dh2dQAC,RS 0012,,,,RTR-RS-0001-2029-0012,9/3/2021,Nexty,
02i1U000000OEbwQAG,0011U000007zcnLQAQ,CTR 0012,,,RTR-MPA-0002-2002-0086,RTR-CTR-0001-2022-0012,6/14/2021,Johnan Corp,
02i1U000000OFDZQA4,0011U000008Dh2dQAC,MPA 0098,,,2 2.1 0098,2 2.1 0098,9/3/2021,Nexty,
02i1U000000OEc6QAG,0011U000007zcnLQAQ,CTR 0013,,,RTR-MPA-0002-2002-0057,RTR-CTR-0001-2022-0013,6/14/2021,Johnan Corp,
02i1U000000OEcBQAW,0011U000007zcnLQAQ,MPA 0073,,,2 2.1 0073,2 2.1 0073,6/14/2021,Johnan Corp,
02i1U000000OEcQQAW,0011U000007zcnLQAQ,MPA 0069,,,2 2.1 0069,2 2.1 0069,6/14/2021,Johnan Corp,
02i1U000000OEcGQAW,0011U000007zcnLQAQ,CTR 0014,,,RTR-MPA-0002-2002-0073,RTR-CTR-0001-2024-0014,6/14/2021,Johnan Corp,
02i1U000000HtulQAC,0011U00000RZOa0QAH,MPA 0012,,,2 2.1 0012,2 2.1 0012,,Honda,0011U000007zcnLQAQ
02i1U000003m696QAA,0011U00000pT9FAQA0,MPA 0216,,,RTR-MPA-0003-2036-0216,RTR-MPA-0003-2036-0216,,Next.Robotics,
02i1U000003m697QAA,0011U000012wREHQA2,MPA 0221,,,RTR-MPA-0003-2036-0221,RTR-MPA-0003-2036-0221,10/20/2021,IMA S.p.a.,0011U00000pT9FAQA0
02i1U000003mDATQA2,0011U00000pT9FAQA0,CTR 0070,,,RTR-MPA-0003-2038-0232,RTR-CTR-0001-2043-0070,,Next.Robotics,
02i1U000000OFDyQAO,0011U000008Dh2dQAC,RS 0013,,,,RTR-RS-0001-2029-0013,9/3/2021,Nexty,
02i1U000003mDAwQAM,0011U00000pT9FAQA0,CTR 0074,,,RTR-MPA-0003-2036-0216,RTR-CTR-0001-2043-0074,,Next.Robotics,
